Concept 1	Concept 2	Concept 3	Concept 4
3.662014779	1.692203614	4.179237782	3.20568371
3.720329977	1.716490998	4.220613759	3.142726441
3.722076889	1.71721856	4.221853234	3.176978602
3.784762534	1.743326167	4.266330143	3.110618458
3.583826427	1.724970018	4.078196522	3.246514709
3.642125622	1.751655498	4.117883945	3.181970527
3.643875047	1.752456268	4.119074874	3.217947341
3.706766483	1.781243769	4.161888484	3.149769501
3.634655516	1.748236182	4.112798639	3.222333416
3.696830147	1.776695578	4.155124281	3.154719314
3.698698138	1.77755062	4.156395924	3.191865952
3.765940165	1.808329531	4.202171217	3.120291966
3.671070337	1.695975115	4.150363307	3.166056241
3.730034005	1.720532576	4.190953843	3.101345589
3.73180069	1.721268374	4.192170028	3.1357489
3.795209283	1.747677078	4.235820445	3.067490734
3.722488443	1.717389966	4.185759485	3.140396155
3.785204599	1.743510281	4.22893323	3.072687599
3.787085821	1.744293781	4.230228261	3.108158984
3.854686497	1.772448424	4.276764505	3.036595699
3.644287219	1.752644933	4.081181586	3.179577381
3.7072108	1.781447148	4.122556241	3.109913451
3.709101729	1.782312689	4.123799599	3.147237964
3.777186424	1.813477318	4.168567885	3.073430339
3.699138263	1.77775208	4.117248241	3.152209268
3.766415829	1.808547258	4.161485807	3.079045792
3.768440262	1.809473909	4.162816949	3.117630803
3.841435671	1.842886335	4.210814216	3.039932782
3.432918549	1.62939883	4.164222801	3.258468777
3.488319551	1.653733308	4.209235206	3.191135867
3.489985071	1.654464875	4.210588413	3.228937016
3.549979051	1.680816785	4.259332537	3.157625485
3.481209738	1.650610376	4.203458599	3.233478226
3.540485068	1.676646624	4.251618832	3.162785225
3.542269456	1.677430403	4.253068617	3.201879997
3.6066387	1.705704116	4.305367572	3.126832395
3.382106478	1.685794711	4.089334845	3.281628296
3.440533394	1.714785871	4.135385186	3.208986166
3.442296171	1.715660553	4.136774555	3.250343751
3.506040145	1.747290012	4.187015641	3.173015638
3.433012543	1.711054061	4.129457477	3.255169064
3.49592066	1.742268771	4.179039767	3.178572366
3.497821687	1.743212052	4.1805381	3.221483486
3.566685335	1.777381869	4.23481436	3.139714651
3.490377499	1.654637247	4.170808011	3.188634692
3.550403722	1.681003319	4.2179633	3.115680412
3.552211176	1.68179723	4.219383196	3.154972281
3.617430511	1.710444338	4.270618082	3.077449659
3.542689913	1.677615086	4.2119035	3.160155681
3.607094992	1.705904538	4.262498724	3.083344834
3.609037125	1.706757606	4.264024421	3.124036089
3.679227158	1.737588056	4.319164178	3.042202074
3.44271157	1.715866672	4.09325216	3.206278041
3.506493078	1.747514755	4.141584254	3.126978551
3.508421089	1.748471425	4.143045254	3.170127303
3.578285549	1.783137841	4.195986863	3.085374399
3.49826969	1.743434349	4.135352768	3.175712195
3.567175486	1.77762508	4.187567925	3.091812745
3.569262056	1.778660426	4.189149077	3.136655047
3.645017551	1.816249945	4.246554771	3.046702818
