# Headerline1 
# Headerline2 
# Headerline3 
# Headerline4 
# Headerline5 
# Headerline6 
# Headerline7 
# Headerline8 
# Headerline9 
# Headerline10 
# Headerline11 
# Headerline12 
# Headerline13 
# 
-1.000000000000000000e+01	-6.081763505935668945e-01	1.622663810849189758e-02
-9.500000000000000000e+00	-5.811263918876647949e-01	1.561915315687656403e-02
-9.000000000000000000e+00	-5.656751990318298340e-01	1.443559583276510239e-02
-8.500000000000000000e+00	-5.325312614440917969e-01	1.380627602338790894e-02
-8.000000000000000000e+00	-4.941947460174560547e-01	1.325440779328346252e-02
-7.500000000000000000e+00	-4.588650166988372803e-01	1.245834026485681534e-02
-7.000000000000000000e+00	-4.166129231452941895e-01	1.192604005336761475e-02
-6.500000000000000000e+00	-3.752019703388214111e-01	1.133244857192039490e-02
-6.000000000000000000e+00	-3.299794197082519531e-01	1.090918667614459991e-02
-5.500000000000000000e+00	-2.850237488746643066e-01	1.041706744581460953e-02
-5.000000000000000000e+00	-2.419407367706298828e-01	9.853017516434192657e-03
-4.500000000000000000e+00	-1.967863887548446655e-01	9.332005865871906281e-03
-4.000000000000000000e+00	-1.521902680397033691e-01	8.864366449415683746e-03
-3.500000000000000000e+00	-1.099737137556076050e-01	8.158349432051181793e-03
-3.000000000000000000e+00	-7.002302259206771851e-02	7.439754903316497803e-03
-2.500000000000000000e+00	-2.871599234640598297e-02	6.810752209275960922e-03
-2.000000000000000000e+00	1.790136285126209259e-02	6.566706113517284393e-03
-1.500000000000000000e+00	6.854610890150070190e-02	6.473235320299863815e-03
-1.000000000000000000e+00	1.192107796669006348e-01	6.391301285475492477e-03
-5.000000000000000000e-01	1.696847677230834961e-01	6.367085967212915421e-03
0.000000000000000000e+00	2.201941907405853271e-01	6.294940598309040070e-03
5.000000000000000000e-01	2.707314342260360718e-01	6.288923788815736771e-03
1.000000000000000000e+00	3.212686777114868164e-01	6.282906979322433472e-03
1.500000000000000000e+00	3.712811022996902466e-01	6.276251049712300301e-03
2.000000000000000000e+00	4.212935268878936768e-01	6.269595120102167130e-03
2.500000000000000000e+00	4.772128611803054810e-01	6.289376644417643547e-03
3.000000000000000000e+00	5.331321954727172852e-01	6.309158168733119965e-03
3.500000000000000000e+00	6.228823065757751465e-01	6.541001144796609879e-03
4.000000000000000000e+00	7.097062468528747559e-01	6.884966511279344559e-03
4.500000000000000000e+00	7.755030393600463867e-01	7.269782014191150665e-03
5.000000000000000000e+00	8.343826532363891602e-01	7.702997885644435883e-03
5.500000000000000000e+00	8.996507525444030762e-01	8.195774629712104797e-03
6.000000000000000000e+00	9.633057117462158203e-01	8.790606632828712463e-03
6.500000000000000000e+00	1.025348424911499023e+00	9.439333342015743256e-03
7.000000000000000000e+00	1.093356251716613770e+00	1.001441385596990585e-02
7.500000000000000000e+00	1.158733129501342773e+00	1.069121528416872025e-02
8.000000000000000000e+00	1.185553908348083496e+00	1.129024941474199295e-02
8.500000000000000000e+00	1.202537775039672852e+00	1.194232329726219177e-02
9.000000000000000000e+00	1.209575414657592773e+00	1.251593232154846191e-02
9.500000000000000000e+00	1.224158167839050293e+00	1.320528611540794373e-02
1.000000000000000000e+01	1.241536259651184082e+00	1.405097916722297668e-02
1.050000000000000000e+01	1.258974194526672363e+00	1.508211344480514526e-02
1.100000000000000000e+01	1.277098059654235840e+00	1.630435883998870850e-02
1.150000000000000000e+01	1.295224189758300781e+00	1.776641793549060822e-02
1.200000000000000000e+01	1.312703967094421387e+00	1.949689537286758423e-02
1.250000000000000000e+01	1.329058051109313965e+00	2.150987833738327026e-02
1.300000000000000000e+01	1.346675038337707520e+00	2.363101392984390259e-02
1.350000000000000000e+01	1.362541317939758301e+00	2.600747905671596527e-02
1.400000000000000000e+01	1.376026391983032227e+00	2.868918329477310181e-02
1.450000000000000000e+01	1.385451793670654297e+00	3.180443122982978821e-02
1.500000000000000000e+01	1.398152232170104980e+00	3.481659665703773499e-02
1.550000000000000000e+01	1.405755758285522461e+00	3.841774910688400269e-02
1.600000000000000000e+01	1.411101579666137695e+00	4.239989444613456726e-02
1.650000000000000000e+01	1.418516159057617188e+00	4.639461636543273926e-02
1.700000000000000000e+01	1.418134689331054688e+00	5.131987854838371277e-02
1.750000000000000000e+01	1.423740625381469727e+00	5.583861470222473145e-02
1.800000000000000000e+01	1.421427011489868164e+00	6.134107336401939392e-02
1.850000000000000000e+01	1.418920755386352539e+00	6.710484623908996582e-02
1.900000000000000000e+01	1.416386485099792480e+00	7.299402356147766113e-02
1.950000000000000000e+01	1.405262589454650879e+00	8.017060905694961548e-02
2.000000000000000000e+01	1.395484447479248047e+00	8.734767138957977295e-02
2.050000000000000000e+01	1.385760188102722168e+00	9.471260756254196167e-02
2.100000000000000000e+01	1.368018031120300293e+00	1.033643260598182678e-01
2.150000000000000000e+01	1.348719358444213867e+00	1.124955937266349792e-01
2.200000000000000000e+01	1.335522770881652832e+00	1.208224445581436157e-01
2.250000000000000000e+01	1.315283298492431641e+00	1.304828971624374390e-01
2.300000000000000000e+01	1.293544530868530273e+00	1.405604034662246704e-01
2.350000000000000000e+01	1.278817534446716309e+00	1.496650278568267822e-01
2.400000000000000000e+01	1.258801102638244629e+00	1.598905324935913086e-01
2.450000000000000000e+01	1.241528987884521484e+00	1.697821915149688721e-01
